 voltage current power speed energy distance temperature batteryOK batteryVoltage ms
2153 22.41 0.49 10.98 3.73 7759.92 1022.77 0.0 1 0.0 349597
2154 22.41 0.52 11.65 3.73 7761.32 1023.14 0.0 1 0.0 349717
2155 22.41 0.53 11.93 3.73 7762.75 1023.51 0.0 1 0.0 349837
2156 22.41 0.54 12.1 3.72 7764.37 1024.07 0.0 1 0.0 349971
2157 22.41 0.55 12.32 3.72 7765.85 1024.44 0.0 1 0.0 350091
2158 22.41 0.57 12.72 3.71 7767.38 1025.0 0.0 1 0.0 350211
2159 22.41 0.53 11.99 3.71 7768.81 1025.38 0.0 1 0.0 350331
2160 22.41 0.48 10.7 3.7 7770.1 1025.75 0.0 1 0.0 350451
2161 22.41 0.51 11.43 3.69 7771.71 1026.31 0.0 1 0.0 350592
2162 22.41 0.51 11.43 3.69 7773.08 1026.87 0.0 1 0.0 350712
2163 22.41 0.51 11.43 3.69 7774.45 1027.24 0.0 1 0.0 350832
2164 22.41 0.53 11.82 3.69 7775.87 1027.61 0.0 1 0.0 350952
2165 22.41 0.52 11.65 3.68 7777.27 1028.17 0.0 1 0.0 351072
2166 22.41 0.55 12.27 3.68 7778.74 1028.55 0.0 1 0.0 351192
2167 22.41 0.49 10.98 3.68 7780.06 1028.92 0.0 1 0.0 351312
2168 22.41 0.57 12.77 3.67 7781.62 1029.48 0.0 1 0.0 351433
2169 22.41 0.57 12.77 3.68 7783.15 1029.85 0.0 1 0.0 351553
2170 22.41 0.5 11.21 3.69 7784.52 1030.41 0.0 1 0.0 351676
2171 22.41 0.48 10.7 3.68 7785.8 1030.79 0.0 1 0.0 351796
2172 22.41 0.49 11.04 3.68 7787.13 1031.16 0.0 1 0.0 351916
2173 22.41 0.5 11.15 3.68 7788.48 1031.72 0.0 1 0.0 352036
2174 22.41 0.59 13.28 3.68 7790.06 1032.09 0.0 1 0.0 352156
2175 22.41 0.5 11.21 3.67 7791.41 1032.46 0.0 1 0.0 352276
2176 22.41 0.5 11.21 3.68 7792.76 1033.02 0.0 1 0.0 352396
