0.0000 45.7746 4294967295.//// 0.3400 13.7600 3.3266 -4294967295.//// 6342
0.0160 0.3755 19.5660 3.8233 18.8525 0.0199 99.9740 12203
0.0140 0.3755 22.3611 3.8233 18.8525 0.0199 99.9703 12253
0.0150 0.3755 20.8704 3.8233 18.8525 0.0199 99.9723 12303
0.0160 0.3756 19.5673 3.8249 18.8538 0.0199 99.9740 12353
0.0160 0.3756 19.5673 3.8249 18.8538 0.0199 99.9740 12403
0.0150 0.3756 20.8745 3.8283 18.8563 0.0199 99.9723 12453
0.0140 0.3756 22.3656 3.8283 18.8563 0.0199 99.9703 12503
0.0140 0.3756 22.3656 3.8283 18.8563 0.0199 99.9703 12553
0.0150 0.3663 20.3540 3.8294 18.8575 0.0194 99.9729 12603
0.0120 0.3663 25.4425 3.8294 18.8575 0.0194 99.9662 12653
0.0140 0.3663 21.8079 3.8294 18.8575 0.0194 99.9710 12704
0.0130 0.3663 23.4885 3.8328 18.8600 0.0194 99.9688 12754
0.0130 0.3663 23.4885 3.8328 18.8600 0.0194 99.9688 12804
0.0140 0.3663 21.8108 3.8328 18.8600 0.0194 99.9710 12854
0.0150 0.3757 20.8815 3.8366 18.8625 0.0199 99.9723 12904
0.0140 0.3757 22.3730 3.8366 18.8625 0.0199 99.9703 12954
0.0130 0.3757 24.0940 3.8366 18.8625 0.0199 99.9680 13004
0.0130 0.3758 24.0956 3.8383 18.8638 0.0199 99.9680 13054
0.0120 0.3758 26.1036 3.8383 18.8638 0.0199 99.9653 13104
0.0140 0.3758 22.3774 3.8416 18.8662 0.0199 99.9703 13154
0.0130 0.3758 24.0988 3.8416 18.8662 0.0199 99.9680 13205
0.0130 0.3758 24.0988 3.8416 18.8662 0.0199 99.9680 13255
0.0120 0.3759 26.1105 3.8449 18.8687 0.0199 99.9653 13305
0.0120 0.3759 26.1105 3.8449 18.8687 0.0199 99.9653 13355
0.0110 0.3759 28.4841 3.8449 18.8687 0.0199 99.9622 13405
0.0120 0.3759 26.1139 3.8483 18.8713 0.0199 99.9653 13455
0.0120 0.3759 26.1139 3.8483 18.8713 0.0199 99.9653 13505
0.0120 0.3759 26.1139 3.8483 18.8713 0.0199 99.9653 13555
0.0130 0.3666 23.5057 3.8511 18.8738 0.0194 99.9688 13605
0.0110 0.3666 27.7794 3.8511 18.8738 0.0194 99.9631 13656
0.0100 0.3666 30.5634 3.8561 18.8775 0.0194 99.9594 13706
0.0110 0.3666 27.7849 3.8561 18.8775 0.0194 99.9631 13756
0.0120 0.3666 25.4695 3.8561 18.8775 0.0194 99.9662 13806
0.0110 0.3761 28.5011 3.8599 18.8800 0.0199 99.9622 13856
0.0100 0.3761 31.3512 3.8599 18.8800 0.0199 99.9584 13906
0.0120 0.3761 26.1260 3.8599 18.8800 0.0199 99.9653 13956
0.0110 0.3761 28.5049 3.8633 18.8825 0.0199 99.9622 14006
0.0110 0.3761 28.5049 3.8633 18.8825 0.0199 99.9622 14056
0.0110 0.3761 28.5049 3.8633 18.8825 0.0199 99.9622 14106
0.0120 0.3762 26.1347 3.8683 18.8862 0.0199 99.9653 14157
0.0110 0.3762 28.5106 3.8683 18.8862 0.0199 99.9622 14207
0.0110 0.3669 27.8015 3.8711 18.8888 0.0194 99.9631 14257
0.0110 0.3669 27.8015 3.8711 18.8888 0.0194 99.9631 14307
0.0100 0.3669 30.5816 3.8711 18.8888 0.0194 99.9594 14357
0.0110 0.3669 27.8033 3.8728 18.8900 0.0194 99.9631 14407
0.0120 0.3669 25.4864 3.8728 18.8900 0.0194 99.9662 14457
0.0110 0.3669 27.8033 3.8728 18.8900 0.0194 99.9631 14507
0.0110 0.3669 27.8052 3.8744 18.8913 0.0194 99.9631 14557
0.0110 0.3669 27.8052 3.8744 18.8913 0.0194 99.9631 14607
0.0100 0.3669 30.5857 3.8744 18.8913 0.0194 99.9594 14657
0.0110 0.3669 27.8052 3.8744 18.8913 0.0194 99.9631 14708
0.0100 0.3669 30.5857 3.8744 18.8913 0.0194 99.9594 14758
0.0110 0.3763 28.5181 3.8749 18.8913 0.0199 99.9622 14808
0.0110 0.3763 28.5181 3.8749 18.8913 0.0199 99.9622 14858
0.0100 0.3763 31.3699 3.8749 18.8913 0.0199 99.9584 14908
0.0110 0.3669 27.8070 3.8761 18.8925 0.0194 99.9631 14958
0.0100 0.3669 30.5877 3.8761 18.8925 0.0194 99.9594 15008
0.0110 0.3669 27.8070 3.8761 18.8925 0.0194 99.9631 15058
0.0100 0.3763 31.3720 3.8766 18.8925 0.0199 99.9584 15108
0.0100 0.3763 31.3720 3.8766 18.8925 0.0199 99.9584 15158
0.0100 0.3763 31.3720 3.8766 18.8925 0.0199 99.9584 15208
0.0100 0.3763 31.3699 3.8749 18.8913 0.0199 99.9584 15259
0.0110 0.3763 28.5181 3.8749 18.8913 0.0199 99.9622 15309
0.0100 0.3763 31.3699 3.8749 18.8913 0.0199 99.9584 15359
0.0100 0.3763 31.3699 3.8749 18.8913 0.0199 99.9584 15409
0.0110 0.3763 28.5181 3.8749 18.8913 0.0199 99.9622 15459
0.0100 0.3669 30.5857 3.8744 18.8913 0.0194 99.9594 15509
0.0090 0.3669 33.9841 3.8744 18.8913 0.0194 99.9549 15559
0.0100 0.3669 30.5857 3.8744 18.8913 0.0194 99.9594 15609
0.0100 0.3669 30.5857 3.8744 18.8913 0.0194 99.9594 15659
0.0110 0.3669 27.8052 3.8744 18.8913 0.0194 99.9631 15710
0.0090 0.3669 33.9841 3.8744 18.8913 0.0194 99.9549 15760
0.0090 0.3763 34.8555 3.8749 18.8913 0.0199 99.9538 15810
0.0100 0.3763 31.3699 3.8749 18.8913 0.0199 99.9584 15860
0.0090 0.3763 34.8555 3.8749 18.8913 0.0199 99.9538 15910
0.0110 0.3763 28.5181 3.8749 18.8913 0.0199 99.9622 15960
0.0100 0.3763 31.3699 3.8749 18.8913 0.0199 99.9584 16010
0.0090 0.3669 33.9841 3.8744 18.8913 0.0194 99.9549 16060
0.0090 0.3669 33.9841 3.8744 18.8913 0.0194 99.9549 16110
0.0090 0.3669 33.9841 3.8744 18.8913 0.0194 99.9549 16160
0.0080 0.3763 39.2124 3.8749 18.8913 0.0199 99.9480 16211
0.0090 0.3763 34.8555 3.8749 18.8913 0.0199 99.9538 16261
0.0090 0.3763 34.8555 3.8749 18.8913 0.0199 99.9538 16311
0.0090 0.3763 34.8555 3.8749 18.8913 0.0199 99.9538 16361
0.0080 0.3763 39.2124 3.8749 18.8913 0.0199 99.9480 16411
0.0100 0.3763 31.3699 3.8749 18.8913 0.0199 99.9584 16461
0.0090 0.3669 33.9818 3.8728 18.8900 0.0194 99.9549 16511
0.0090 0.3669 33.9818 3.8728 18.8900 0.0194 99.9549 16561
0.0090 0.3669 33.9841 3.8744 18.8913 0.0194 99.9549 16611
0.0080 0.3669 38.2321 3.8744 18.8913 0.0194 99.9493 16661
0.0100 0.3669 30.5857 3.8744 18.8913 0.0194 99.9594 16712
0.0090 0.3763 34.8555 3.8749 18.8913 0.0199 99.9538 16762
0.0090 0.3763 34.8555 3.8749 18.8913 0.0199 99.9538 16812
0.0090 0.3763 34.8555 3.8749 18.8913 0.0199 99.9538 16862
0.0090 0.3763 34.8555 3.8749 18.8913 0.0199 99.9538 16912
0.0100 0.3763 31.3699 3.8749 18.8913 0.0199 99.9584 16962
0.0090 0.3763 34.8555 3.8749 18.8913 0.0199 99.9538 17012
0.0080 0.3763 39.2124 3.8749 18.8913 0.0199 99.9480 17062
0.0100 0.3763 31.3699 3.8749 18.8913 0.0199 99.9584 17112
0.0080 0.3669 38.2321 3.8744 18.8913 0.0194 99.9493 17163
0.0100 0.3669 30.5857 3.8744 18.8913 0.0194 99.9594 17213
0.0080 0.3669 38.2321 3.8744 18.8913 0.0194 99.9493 17263
0.0080 0.3669 38.2321 3.8744 18.8913 0.0194 99.9493 17313
0.0080 0.3669 38.2321 3.8744 18.8913 0.0194 99.9493 17363
0.0090 0.3669 33.9841 3.8744 18.8913 0.0194 99.9549 17413
0.0090 0.3763 34.8532 3.8733 18.8900 0.0199 99.9538 17463
0.0090 0.3763 34.8532 3.8733 18.8900 0.0199 99.9538 17513
0.0090 0.3763 34.8532 3.8733 18.8900 0.0199 99.9538 17563
0.0100 0.3669 30.5837 3.8728 18.8900 0.0194 99.9594 17613
0.0070 0.3669 43.6909 3.8728 18.8900 0.0194 99.9420 17663
0.0090 0.3669 33.9818 3.8728 18.8900 0.0194 99.9549 17713
0.0090 0.3669 33.9818 3.8728 18.8900 0.0194 99.9549 17764
0.0080 0.3669 38.2296 3.8728 18.8900 0.0194 99.9493 17814
0.0080 0.3669 38.2296 3.8728 18.8900 0.0194 99.9493 17864
0.0090 0.3669 33.9818 3.8728 18.8900 0.0194 99.9549 17914
0.0080 0.3669 38.2296 3.8728 18.8900 0.0194 99.9493 17964
0.0080 0.3763 39.2098 3.8733 18.8900 0.0199 99.9480 18014
0.0080 0.3763 39.2098 3.8733 18.8900 0.0199 99.9480 18064
0.0080 0.3763 39.2098 3.8733 18.8900 0.0199 99.9480 18114
0.0100 0.3763 31.3679 3.8733 18.8900 0.0199 99.9584 18164
0.0090 0.3763 34.8532 3.8733 18.8900 0.0199 99.9538 18214
0.0080 0.3763 39.2098 3.8733 18.8900 0.0199 99.9480 18264
0.0090 0.3669 33.9818 3.8728 18.8900 0.0194 99.9549 18314
0.0080 0.3669 38.2296 3.8728 18.8900 0.0194 99.9493 18364
0.0070 0.3669 43.6881 3.8711 18.8888 0.0194 99.9420 18414
0.0080 0.3669 38.2270 3.8711 18.8888 0.0194 99.9493 18464
0.0080 0.3669 38.2270 3.8711 18.8888 0.0194 99.9493 18515
0.0080 0.3669 38.2270 3.8711 18.8888 0.0194 99.9493 18565
0.0090 0.3669 33.9796 3.8711 18.8888 0.0194 99.9549 18615
0.0110 0.3669 27.8015 3.8711 18.8888 0.0194 99.9631 18665
0.0080 0.3763 39.2072 3.8716 18.8888 0.0199 99.9480 18715
0.0090 0.3763 34.8509 3.8716 18.8888 0.0199 99.9538 18765
0.0080 0.3763 39.2072 3.8716 18.8888 0.0199 99.9480 18815
0.0080 0.3669 38.2270 3.8711 18.8888 0.0194 99.9493 18865
0.0100 0.3669 30.5816 3.8711 18.8888 0.0194 99.9594 18915
0.0090 0.3763 34.8509 3.8716 18.8888 0.0199 99.9538 18965
0.0090 0.3763 34.8509 3.8716 18.8888 0.0199 99.9538 19016
0.0090 0.3763 34.8509 3.8716 18.8888 0.0199 99.9538 19066
0.0090 0.3763 34.8509 3.8716 18.8888 0.0199 99.9538 19116
0.0100 0.3763 31.3658 3.8716 18.8888 0.0199 99.9584 19166
0.0080 0.3763 39.2072 3.8716 18.8888 0.0199 99.9480 19216
0.0090 0.6676 61.8398 3.8787 18.8825 0.0354 99.9179 19266
0.0390 0.6676 14.2707 3.8787 18.8825 0.0354 99.9811 19316
0.0650 0.6676 8.5624 3.8787 18.8825 0.0354 99.9886 19366
0.0790 22.0317 232.4790 2.3091 16.7450 1.3157 99.6520 19416
0.0890 22.0317 206.3578 2.3091 16.7450 1.3157 99.6911 19467
0.0970 24.1248 207.3264 2.4340 16.7450 1.4407 99.6897 19517
0.1020 23.2675 190.1576 1.6407 16.1500 1.4407 99.7049 19567
0.1070 23.2675 181.2717 1.6407 16.1500 1.4407 99.7187 19617
0.1100 23.3377 176.8598 1.6155 16.1262 1.4472 99.7251 19667
0.1140 23.3377 170.6542 1.6155 16.1262 1.4472 99.7348 19717
0.1160 23.3377 167.7119 1.6155 16.1262 1.4472 99.7393 19767
0.1180 23.3476 164.9389 1.6177 16.1275 1.4477 99.7437 19817
0.1220 23.3476 159.5310 1.6177 16.1275 1.4477 99.7521 19867
0.1270 23.3476 153.2503 1.6177 16.1275 1.4477 99.7618 19918
0.1280 23.3431 152.0242 1.6205 16.1300 1.4472 99.7638 19968
0.1330 23.3431 146.3091 1.6205 16.1300 1.4472 99.7727 20018
0.1390 23.3431 139.9935 1.6205 16.1300 1.4472 99.7825 20068
0.1430 23.3369 136.0414 1.6217 16.1313 1.4467 99.7886 20118
0.1480 23.3369 131.4454 1.6217 16.1313 1.4467 99.7958 20168
0.1550 23.3325 125.4854 1.6245 16.1338 1.4462 99.8051 20218
0.1600 23.3325 121.5640 1.6245 16.1338 1.4462 99.8111 20268
0.1690 23.3325 115.0901 1.6245 16.1338 1.4462 99.8212 20319
0.1750 23.3325 111.1442 1.6245 16.1338 1.4462 99.8273 20369
0.1820 23.3325 106.8694 1.6245 16.1338 1.4462 99.8340 20419
0.1880 23.3325 103.4587 1.6245 16.1338 1.4462 99.8393 20469
0.1940 23.3325 100.2589 1.6245 16.1338 1.4462 99.8443 20519
0.2020 23.3325 96.2883 1.6245 16.1338 1.4462 99.8504 20569
0.2070 23.3325 93.9625 1.6245 16.1338 1.4462 99.8540 20619
0.2130 23.3325 91.3157 1.6245 16.1338 1.4462 99.8581 20669
0.2190 23.3325 88.8139 1.6245 16.1338 1.4462 99.8620 20720
0.2250 23.3387 86.4686 1.6234 16.1325 1.4467 99.8657 20770
0.2300 23.3387 84.5888 1.6234 16.1325 1.4467 99.8686 20820
