0.0000 44.7256 4294967295.//// 0.3709 13.8575 3.2275 -4294967295.//// 6342
0.0060 0.3733 51.8681 3.6749 18.7412 0.0199 99.9306 15425
0.0070 0.3733 44.4584 3.6749 18.7412 0.0199 99.9405 15475
0.0040 0.3733 77.7969 3.6733 18.7400 0.0199 99.8960 15525
0.0070 0.3733 44.4554 3.6733 18.7400 0.0199 99.9405 15575
0.0070 0.3733 44.4554 3.6733 18.7400 0.0199 99.9405 15625
0.0060 0.3639 50.5646 3.6711 18.7388 0.0194 99.9324 15675
0.0080 0.3639 37.9235 3.6711 18.7388 0.0194 99.9493 15725
0.0080 0.3733 38.8959 3.6716 18.7388 0.0199 99.9480 15775
0.0080 0.3733 38.8933 3.6699 18.7375 0.0199 99.9480 15825
0.0090 0.3733 34.5718 3.6699 18.7375 0.0199 99.9538 15875
0.0060 0.3732 51.8542 3.6683 18.7362 0.0199 99.9306 15926
0.0070 0.3732 44.4465 3.6683 18.7362 0.0199 99.9405 15976
0.0070 0.3732 44.4465 3.6683 18.7362 0.0199 99.9405 16026
0.0070 0.3639 43.3324 3.6661 18.7350 0.0194 99.9420 16076
0.0080 0.3639 37.9159 3.6661 18.7350 0.0194 99.9493 16126
0.0090 0.3639 33.7030 3.6661 18.7350 0.0194 99.9549 16176
0.0080 0.3732 38.8855 3.6649 18.7337 0.0199 99.9480 16226
0.0060 0.3732 51.8473 3.6649 18.7337 0.0199 99.9306 16276
0.0070 0.3732 44.4406 3.6649 18.7337 0.0199 99.9405 16326
0.0080 0.3731 38.8803 3.6616 18.7313 0.0199 99.9480 16376
0.0070 0.3731 44.4346 3.6616 18.7313 0.0199 99.9405 16426
0.0070 0.3731 44.4346 3.6616 18.7313 0.0199 99.9405 16477
0.0070 0.3731 44.4346 3.6616 18.7313 0.0199 99.9405 16527
0.0070 0.3731 44.4346 3.6616 18.7313 0.0199 99.9405 16577
0.0080 0.3638 37.9058 3.6594 18.7300 0.0194 99.9493 16627
0.0060 0.3638 50.5410 3.6594 18.7300 0.0194 99.9324 16677
0.0060 0.3638 50.5410 3.6594 18.7300 0.0194 99.9324 16727
0.0060 0.3731 51.8300 3.6566 18.7275 0.0199 99.9306 16777
0.0050 0.3731 62.1960 3.6566 18.7275 0.0199 99.9168 16827
