0.0000 44.1031 4294967295.//// -1.1217 13.7537 3.2066 -4294967295.//// 6342
0.0100 0.3650 0.0304 2.4111 18.7938 0.0194 99.9594 13750
0.0100 0.3650 0.0304 2.4111 18.7938 0.0194 99.9594 13800
0.0100 0.3744 0.0312 2.4116 18.7938 0.0199 99.9584 13850
0.0090 0.3744 0.0347 2.4116 18.7938 0.0199 99.9538 13900
0.0100 0.3744 0.0312 2.4116 18.7938 0.0199 99.9584 13950
0.0080 0.3744 0.0390 2.4116 18.7938 0.0199 99.9480 14000
0.0090 0.3744 0.0347 2.4116 18.7938 0.0199 99.9538 14050
0.0080 0.3744 0.0390 2.4116 18.7938 0.0199 99.9480 14100
0.0100 0.3744 0.0312 2.4116 18.7938 0.0199 99.9584 14150
0.0080 0.3744 0.0390 2.4116 18.7938 0.0199 99.9480 14201
0.0100 0.3650 0.0304 2.4111 18.7938 0.0194 99.9594 14251
0.0090 0.3650 0.0338 2.4111 18.7938 0.0194 99.9549 14301
0.0100 0.3650 0.0304 2.4111 18.7938 0.0194 99.9594 14351
0.0100 0.3650 0.0304 2.4111 18.7938 0.0194 99.9594 14401
0.0090 0.3650 0.0338 2.4111 18.7938 0.0194 99.9549 14451
0.0100 0.3650 0.0304 2.4111 18.7938 0.0194 99.9594 14501
0.0080 0.3744 0.0390 2.4133 18.7950 0.0199 99.9480 14551
0.0090 0.3744 0.0347 2.4133 18.7950 0.0199 99.9538 14601
0.0090 0.3744 0.0347 2.4133 18.7950 0.0199 99.9538 14651
0.0090 0.3744 0.0347 2.4133 18.7950 0.0199 99.9538 14701
0.0100 0.3744 0.0312 2.4133 18.7950 0.0199 99.9584 14751
0.0080 0.3744 0.0390 2.4133 18.7950 0.0199 99.9480 14801
0.0090 0.3744 0.0347 2.4116 18.7938 0.0199 99.9538 14851
0.0090 0.3744 0.0347 2.4116 18.7938 0.0199 99.9538 14901
0.0080 0.3650 0.0380 2.4111 18.7938 0.0194 99.9493 14951
0.0080 0.3650 0.0380 2.4111 18.7938 0.0194 99.9493 15001
0.0080 0.3650 0.0380 2.4111 18.7938 0.0194 99.9493 15051
0.0080 0.3744 0.0390 2.4116 18.7938 0.0199 99.9480 15101
0.0080 0.3744 0.0390 2.4116 18.7938 0.0199 99.9480 15151
0.0100 0.3744 0.0312 2.4116 18.7938 0.0199 99.9584 15201
0.0090 0.3743 0.0347 2.4099 18.7925 0.0199 99.9538 15251
0.0100 0.3743 0.0312 2.4099 18.7925 0.0199 99.9584 15302
0.0090 0.3743 0.0347 2.4099 18.7925 0.0199 99.9538 15352
0.0090 0.3743 0.0347 2.4099 18.7925 0.0199 99.9538 15402
0.0080 0.3743 0.0390 2.4099 18.7925 0.0199 99.9480 15452
0.0080 0.3650 0.0380 2.4078 18.7913 0.0194 99.9493 15502
0.0080 0.3650 0.0380 2.4078 18.7913 0.0194 99.9493 15552
0.0080 0.3650 0.0380 2.4078 18.7913 0.0194 99.9493 15602
0.0080 0.3650 0.0380 2.4078 18.7913 0.0194 99.9493 15652
0.0070 0.3650 0.0435 2.4078 18.7913 0.0194 99.9420 15702
0.0080 0.3650 0.0380 2.4078 18.7913 0.0194 99.9493 15752
0.0070 0.3743 0.0446 2.4066 18.7900 0.0199 99.9405 15802
0.0080 0.3743 0.0390 2.4066 18.7900 0.0199 99.9480 15852
0.0080 0.3743 0.0390 2.4066 18.7900 0.0199 99.9480 15902
0.0070 0.3743 0.0446 2.4049 18.7887 0.0199 99.9405 15952
0.0060 0.3743 0.0520 2.4049 18.7887 0.0199 99.9306 16002
0.0080 0.3743 0.0390 2.4049 18.7887 0.0199 99.9480 16052
0.0070 0.3743 0.0446 2.4049 18.7887 0.0199 99.9405 16102
0.0080 0.3743 0.0390 2.4049 18.7887 0.0199 99.9480 16152
0.0070 0.3649 0.0435 2.4028 18.7875 0.0194 99.9420 16202
0.0070 0.3649 0.0435 2.4028 18.7875 0.0194 99.9420 16252
0.0080 0.3649 0.0380 2.4028 18.7875 0.0194 99.9493 16302
0.0080 0.3742 0.0390 2.4033 18.7875 0.0199 99.9480 16352
0.0090 0.3742 0.0347 2.4033 18.7875 0.0199 99.9538 16402
0.0080 0.3742 0.0390 2.4033 18.7875 0.0199 99.9480 16453
0.0080 0.3742 0.0390 2.4016 18.7862 0.0199 99.9480 16503
0.0090 0.3742 0.0347 2.4016 18.7862 0.0199 99.9538 16553
0.0070 0.3742 0.0446 2.4016 18.7862 0.0199 99.9405 16603
0.0080 0.3742 0.0390 2.4016 18.7862 0.0199 99.9480 16653
0.0090 0.3742 0.0347 2.4016 18.7862 0.0199 99.9538 16703
0.0070 0.3648 0.0434 2.3994 18.7850 0.0194 99.9420 16753
0.0080 0.3648 0.0380 2.3994 18.7850 0.0194 99.9493 16803
0.0080 0.3648 0.0380 2.3994 18.7850 0.0194 99.9493 16853
0.0080 0.3648 0.0380 2.3978 18.7838 0.0194 99.9493 16903
0.0070 0.3648 0.0434 2.3978 18.7838 0.0194 99.9420 16953
0.0060 0.3648 0.0507 2.3978 18.7838 0.0194 99.9324 17003
0.0080 0.3741 0.0390 2.3966 18.7825 0.0199 99.9480 17053
0.0070 0.3741 0.0446 2.3966 18.7825 0.0199 99.9405 17103
0.0070 0.3741 0.0446 2.3966 18.7825 0.0199 99.9405 17153
0.0070 0.3741 0.0446 2.3966 18.7825 0.0199 99.9405 17203
0.0060 0.3741 0.0520 2.3966 18.7825 0.0199 99.9306 17253
0.0070 0.3741 0.0446 2.3949 18.7813 0.0199 99.9405 17303
0.0070 0.3741 0.0446 2.3949 18.7813 0.0199 99.9405 17353
0.0070 0.3741 0.0446 2.3949 18.7813 0.0199 99.9405 17403
0.0080 0.3647 0.0380 2.3928 18.7800 0.0194 99.9493 17453
0.0060 0.3647 0.0507 2.3928 18.7800 0.0194 99.9324 17503
0.0080 0.3647 0.0380 2.3928 18.7800 0.0194 99.9493 17554
0.0080 0.3741 0.0390 2.3933 18.7800 0.0199 99.9480 17604
0.0080 0.3741 0.0390 2.3933 18.7800 0.0199 99.9480 17654
0.0080 0.3741 0.0390 2.3933 18.7800 0.0199 99.9480 17704
0.0070 0.3741 0.0445 2.3916 18.7787 0.0199 99.9405 17754
0.0070 0.3741 0.0445 2.3916 18.7787 0.0199 99.9405 17804
0.0070 0.3740 0.0445 2.3899 18.7775 0.0199 99.9405 17854
0.0060 0.3740 0.0520 2.3899 18.7775 0.0199 99.9306 17904
0.0070 0.3740 0.0445 2.3899 18.7775 0.0199 99.9405 17954
0.0070 0.3647 0.0434 2.3894 18.7775 0.0194 99.9420 18004
0.0070 0.3647 0.0434 2.3894 18.7775 0.0194 99.9420 18054
0.0070 0.3647 0.0434 2.3894 18.7775 0.0194 99.9420 18104
0.0070 0.3740 0.0445 2.3883 18.7763 0.0199 99.9405 18154
0.0070 0.3740 0.0445 2.3883 18.7763 0.0199 99.9405 18204
0.0080 0.3740 0.0390 2.3883 18.7763 0.0199 99.9480 18254
